Date,Title Song,Singer,Sad song(Yes/No)
1/1/2022,How Does It Feel To Be Forgotten ,"Selena Gomez, benny blanco",Yes
1/2/2022,Backburner ,NIKI,Yes
1/3/2022,Cola ,Lana Del Rey,Yes
1/4/2022,No One Noticed ,The Marias,Yes
1/5/2022,Ojos Tristes  ,"Selena Gomez, benny blanco, The Marias",Yes
1/6/2022,everything i wanted ,Billie Eilish,Yes
1/7/2022,High By The Beach ,Lana Del Rey,No
1/8/2022,Cry ,Cigarettes After Sex,Yes
1/9/2022,Sailor Song ,Gigi Perez,Yes
1/10/2022,Lucky ,Crying City,Yes
1/11/2022,"I Love You, I'm Sorry ",Gracie Abrams,Yes
1/12/2022,Something About You ,"Eyedress, Dent May",No
1/13/2022,Casual ,Chappell Roan,Yes
1/14/2022,WILDFLOWER ,Billie Eilish,Yes
1/15/2022,watch ,Billie Eilish,Yes
1/16/2022,Cherry Flavoured ,The Neighbourhood,No
1/17/2022,Daddy Issues,The Neighbourhood,Yes
1/18/2022,we fell in love in october ,girl in red,No
1/19/2022,Art Deco ,Lana Del Rey,No
1/20/2022,Cinnamon Girl ,Lana Del Rey,Yes
1/21/2022,Kiss Me ,Sixpence None The Richer,No
1/22/2022,"Good Luck, Babe! ",Chappell Roan,Yes
1/23/2022,L'AMOUR DE MA VIE,Billie Eilish,No
1/24/2022,I Bet on Losing Dogs ,Mitski,Yes
1/25/2022,White Mustang ,Lana Del Rey,Yes
1/26/2022,Sunsetz ,Cigarettes After Sex,Yes
1/27/2022,I'll Call You Mine,girl in red,Yes
1/28/2022,October Passed Me By,girl in red,Yes
1/29/2022,Smalltown Boy ,Bronski Beat,No
1/30/2022,The Adults Are Talking ,The Strokes,No
1/31/2022,Die With A Smile ,"Lady Gaga, Bruno Mars",Yes
2/1/2022,Cherish (My Love) ,ILLIT,No
2/2/2022,Dimple, BTS,No
2/3/2022,"Paris, Texas (feat. SYML) ","Lana Del Rey, SYML",No
2/4/2022,Her,The American Dawn,No
2/5/2022,Juna ,Clairo,No
2/6/2022,Heavy ,The Marias,Yes
2/7/2022,Strangers,Ethel Cain,Yes
2/8/2022,Knuckle Velvet ,"Ethel Cain, YAH WAV",Yes
2/9/2022,That's So True ,Gracie Abrams,No
2/10/2022,Real Man ,beabadoobee,No
2/11/2022,Lovesong ,beabadoobee,No
2/12/2022,lovergirl ,saturra,No
2/13/2022,Music To Watch Boys To ,Lana Del Rey,Yes
2/14/2022,Apocalypse ,Cigarettes After Sex,Yes
2/15/2022,H.S.K.T. (feat. Wonstein) ,"LeeHi, Wonstein",No
2/16/2022,Pretty When You Cry,Lana Del Rey,Yes
2/17/2022,Sad Girl ,Lana Del Rey,Yes
2/18/2022,Ultraviolence ,Lana Del Rey,Yes
2/19/2022,Brooklyn Baby ,Lana Del Rey,No
2/20/2022,No. 1 Party Anthem ,Arctic Monkeys,Yes
2/21/2022,Washing Machine Heart ,Mitski,Yes
2/22/2022,Écoute Chérie ,Vendredi sur Mer,No
2/23/2022,Harvey,Her's,No
2/24/2022,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,Yes
2/25/2022,idfc ,blackbear,Yes
2/26/2022,Cherry ,Lana Del Rey,Yes
2/27/2022,Those Eyes ,New West,Yes
2/28/2022,Sienna ,The Marias,Yes
3/1/2022,Million Dollar Man ,Lana Del Rey,Yes
3/2/2022,Chest Pain (I Love) ,Malcolm Todd,Yes
3/3/2022,This Is What Makes Us Girls ,Lana Del Rey,Yes
3/4/2022,next door (feat. ASTN) ,"Amelia Moore, ASTN",No
3/5/2022,The Blackest Day ,Lana Del Rey,Yes
3/6/2022,Love Me Like You Do ,Ellie Goulding,Yes
3/7/2022,No Surprises ,Radiohead,Yes
3/8/2022,Urn,Crying City,Yes
3/9/2022,Love and Deepspace ," Love and Deepspace, Sarah Brightman",No
3/10/2022,Blur ,The Marias,No
